Genome,GenomeName,Proteins,Reference,Size_Kb,realm_reference,realm_prediction,kingdom_reference,kingdom_prediction,phylum_reference,phylum_prediction,class_reference,class_prediction,order_reference,order_prediction,family_reference,family_prediction,subfamily_reference,subfamily_prediction,genus_reference,genus_prediction
LT603684.1,Pseudomonas phage phiC725A,62,True,64.149,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_22_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_22_of_novel_order_21_of_Caudoviricetes,Hollowayvirus,Hollowayvirus
MF490237.1,Pseudomonas phage vB_PaeP_E220,67,True,62.874,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_22_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_22_of_novel_order_21_of_Caudoviricetes,Hollowayvirus,Hollowayvirus
MT118301.1,Pseudomonas phage Epa33,72,True,64.021,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_22_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_22_of_novel_order_21_of_Caudoviricetes,Hollowayvirus,Hollowayvirus
MZ285879.1,Pseudomonas phage PA8,69,True,63.654,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_22_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_22_of_novel_order_21_of_Caudoviricetes,Hollowayvirus,Hollowayvirus
NC_006552.1,Pseudomonas phage F116,70,True,65.195,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_22_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_22_of_novel_order_21_of_Caudoviricetes,Hollowayvirus,Hollowayvirus
NC_042342.1,Pseudomonas phage H66,71,True,65.27,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_22_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_22_of_novel_order_21_of_Caudoviricetes,Hollowayvirus,Hollowayvirus
NC_030931.1,Pseudomonas phage phi2,52,True,41.871,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_23_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_23_of_novel_order_21_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_23_of_novel_order_21_of_Caudoviricetes
NC_031091.1,Pseudomonas phage MD8,67,True,43.277,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_23_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_23_of_novel_order_21_of_Caudoviricetes,,novel_genus_1_of_novel_subfamily_0_of_novel_family_23_of_novel_order_21_of_Caudoviricetes
NC_007805.1,Pseudomonas phage F10,63,True,39.199,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_23_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_23_of_novel_order_21_of_Caudoviricetes,,novel_genus_2_of_novel_subfamily_0_of_novel_family_23_of_novel_order_21_of_Caudoviricetes
NC_002484.2,Pseudomonas phage D3,99,True,56.426,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes,Detrevirus,Detrevirus
NC_011373.1,Pseudomonas phage PAJU2,79,True,46.872,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes,Detrevirus,Detrevirus
NC_016765.1,Pseudomonas phage PMG1,96,True,54.024,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes,Detrevirus,Detrevirus
NC_023575.1,Pseudomonas phage vB_PaeP_Tr60_Ab31,69,True,45.55,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes
MW748993.1,Pseudomonas phage BUCT566,92,True,49.154,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_genus_1_of_novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes
NC_030929.1,Pseudomonas phage JBD44,80,True,49.033,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_genus_1_of_novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes
ON778007.1,Pseudomonas phage vB_Pae_LC3I3,78,True,49.926,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_genus_1_of_novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes
NC_016762.1,Pseudomonas phage phi297,69,True,49.135,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_genus_2_of_novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes
NC_030909.1,Pseudomonas phage YMC11/07/P54_PAE_BP,73,True,50.183,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_genus_2_of_novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes
OM141125.2,Pseudomonas phage PP9W2,97,True,54.25,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_genus_3_of_novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes
NC_028657.1,Pseudomonas phage YMC11/02/R656,113,True,60.919,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes,,novel_genus_4_of_novel_subfamily_0_of_novel_family_24_of_novel_order_21_of_Caudoviricetes
NC_029066.1,Pseudomonas phage PS-1,79,True,48.666,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_25_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_25_of_novel_order_21_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_25_of_novel_order_21_of_Caudoviricetes
NC_023605.1,Vibrio phage PVA1,21,True,41.529,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_26_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_26_of_novel_order_21_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_26_of_novel_order_21_of_Caudoviricetes
NC_029046.1,Sinorhizobium phage phiLM21,72,True,50.827,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_27_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_27_of_novel_order_21_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_27_of_novel_order_21_of_Caudoviricetes
NC_041868.1,Paracoccus phage Shpa,56,True,38.261,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_28_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_28_of_novel_order_21_of_Caudoviricetes,Vhulanivirus,Vhulanivirus
NC_029061.1,Rhodoferax phage P26218,44,True,36.315,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_2_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_2_of_novel_order_21_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_2_of_novel_order_21_of_Caudoviricetes
BK048414.1,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_3_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_3_of_novel_order_21_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_3_of_novel_order_21_of_Caudoviricetes
OR508996.1,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_3_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_3_of_novel_order_21_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_3_of_novel_order_21_of_Caudoviricetes
TayeBlu_reordered,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_3_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_3_of_novel_order_21_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_3_of_novel_order_21_of_Caudoviricetes
MH622927.1,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_3_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_3_of_novel_order_21_of_Caudoviricetes,,novel_genus_1_of_novel_subfamily_0_of_novel_family_3_of_novel_order_21_of_Caudoviricetes
OL604152.1,Klebsiella phage vB_KpnS-Carvaje,99,True,56.858,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_3_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_3_of_novel_order_21_of_Caudoviricetes,Carvajevirus,Carvajevirus
KY742649.2,Proteus phage VB_PmiS-Isfahan,91,True,54.836,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_3_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_3_of_novel_order_21_of_Caudoviricetes,Gorganvirus,Gorganvirus
KC139649_Salmonella_phage_SP069,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_3_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_3_of_novel_order_21_of_Caudoviricetes,,Nonanavirus|Sashavirus
NC_025443.1,Salmonella phage 9NA,84,True,52.869,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_3_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_3_of_novel_order_21_of_Caudoviricetes,Nonanavirus,Nonanavirus|Sashavirus
NC_047786.1,Salmonella phage vB_SenS_Sasha,81,True,53.263,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_3_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_3_of_novel_order_21_of_Caudoviricetes,Sashavirus,Nonanavirus|Sashavirus
NC_048193.1,Escherichia phage PTXU04,92,True,61.6,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_4_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_4_of_novel_order_21_of_Caudoviricetes,Xuquatrovirus,Xuquatrovirus
OK665842.1,Burkholderia phage BgManors32,87,True,59.762,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_5_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_5_of_novel_order_21_of_Caudoviricetes,Bigmanorsvirus,Bigmanorsvirus
MT701587.1,Burkholderia phage Magia,70,True,44.942,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_5_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_5_of_novel_order_21_of_Caudoviricetes,Magiavirus,Magiavirus
NC_028699.1,Salmonella phage SEN34,63,True,40.74,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_5_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_5_of_novel_order_21_of_Caudoviricetes,Brunovirus,Brunovirus
MT135176.1,Hafnia phage yong1,76,True,43.329,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_5_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_5_of_novel_order_21_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_1_of_novel_family_5_of_novel_order_21_of_Caudoviricetes
NC_019522.1,Pectobacterium phage ZF40,68,True,48.454,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_6_of_novel_order_21_of_Caudoviricetes
NC_011142.1,Iodobacter phage PhiPLPE,84,True,47.453,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Iodovirus,Iodovirus
MG197810.1,Klebsiella phage 1611E-K2-1,17,True,47.797,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
MK521906.1,Klebsiella phage vB_KpnM_FZ14,35,True,49.37,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
MK685667.1,Klebsiella phage vB_KpnM_IME346,79,True,49.482,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
MN689778.1,Klebsiella phage vB_KpnM_15-38_KLPPOU148,72,True,49.169,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
MT757392.1,Klebsiella phage vB_KleM_KB2,65,True,48.245,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
MT894004.1,Klebsiella phage MEW1,67,True,47.129,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
MZ374361.1,Klebsiella phage BUCT_49532,81,True,49.532,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
MZ398021.1,Klebsiella phage BUCT_47333,73,True,47.333,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
MZ504995.1,Klebsiella phage Geezett,79,True,50.707,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
NC_020204.1,Klebsiella phage JD001,68,True,48.814,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
NC_041900.1,Klebsiella phage vB_KpnM_KpV52,75,True,47.405,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
NC_042041.1,Klebsiella phage vB_KpnM_KpV79,75,True,47.76,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
OK499978.1,Klebsiella phage vB_KpnM_JustaPhage,79,True,48.129,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
ON086804.1,Escherichia phage ZCEC13,116,True,48.021,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
ON602758.1,Klebsiella phage VLCpiM12a,75,True,48.833,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
ON809560.1,Klebsiella phage pKp383,73,True,48.837,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Jedunavirus,Jedunavirus
OP114730_Klebsiella_phage_SBP,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,,Jedunavirus
NC_044940.1,Pectobacterium phage PEAT2,55,True,48.659,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Peatvirus,Peatvirus
NC_020082.1,Edwardsiella phage MSW-3,66,True,42.746,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Yokohamavirus,Yokohamavirus
NC_021342.2,Edwardsiella phage PEi21,71,True,43.378,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,Yokohamavirus,Yokohamavirus
NC_019457.1,Vibrio phage CP-T1,70,True,44.492,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes
NC_019518.1,Vibrio phage vB_VchM-138,67,True,44.485,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_1_of_novel_family_6_of_novel_order_21_of_Caudoviricetes
NC_019519.1,Agrobacterium phage 7-7-1,127,True,69.391,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_7_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_7_of_novel_order_21_of_Caudoviricetes,Schmittlotzvirus,Schmittlotzvirus
NC_048067.1,Escherichia phage C130_2,59,True,41.775,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_21_of_Caudoviricetes,,novel_family_8_of_novel_order_21_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_8_of_novel_order_21_of_Caudoviricetes,Hungariovirus,Hungariovirus
